"filename", "language", "Markdown", "JavaScript", "JSON", "Less", "JavaScript React", "CSS", "JSON with Comments", "Python", "XML", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR.js", "JavaScript", 0, -21, 0, 0, 0, 0, 0, 0, 0, 0, -1, -22
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\component.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\globalHeader.js", "JavaScript", 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, -1, -19
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\menu.js", "JavaScript", 0, -52, 0, 0, 0, 0, 0, 0, 0, 0, -1, -53
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\pages.js", "JavaScript", 0, -70, 0, 0, 0, 0, 0, 0, 0, 0, -1, -71
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\pwa.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\settingDrawer.js", "JavaScript", 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, -1, -33
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\pt-BR\settings.js", "JavaScript", 0, -60, 0, 0, 0, 0, 0, 0, 0, 0, -1, -61
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-CN.js", "JavaScript", 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, -1, -25
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-CN\component.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-CN\globalHeader.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-CN\menu.js", "JavaScript", 0, -71, 0, 0, 0, 0, 0, 0, 0, 0, -1, -72
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-CN\pages.js", "JavaScript", 0, -67, 0, 0, 0, 0, 0, 0, 0, 0, -1, -68
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-CN\pwa.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-CN\settingDrawer.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, 0, 0, -1, -32
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-CN\settings.js", "JavaScript", 0, -55, 0, 0, 0, 0, 0, 0, 0, 0, -1, -56
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-TW.js", "JavaScript", 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, -1, -20
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-TW\component.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-TW\globalHeader.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-TW\menu.js", "JavaScript", 0, -52, 0, 0, 0, 0, 0, 0, 0, 0, -1, -53
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-TW\pwa.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, 0, -1, -7
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-TW\settingDrawer.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, 0, 0, -1, -32
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\zh-TW\settings.js", "JavaScript", 0, -55, 0, 0, 0, 0, 0, 0, 0, 0, -1, -56
"d:\工作\软工实验\sep\SE-Project-Front\src\manifest.json", "JSON", 0, 0, -22, 0, 0, 0, 0, 0, 0, 0, -1, -23
"d:\工作\软工实验\sep\SE-Project-Front\src\service-worker.js", "JavaScript", 0, -37, 0, 0, 0, 0, 0, 0, 0, -23, -7, -67
"d:\工作\软工实验\sep\SE-Project-Front\src\services\ant-design-pro\api.js", "JavaScript", 0, -50, 0, 0, 0, 0, 0, 0, 0, -14, -10, -74
"d:\工作\软工实验\sep\SE-Project-Front\src\services\ant-design-pro\index.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, -4, -2, -12
"d:\工作\软工实验\sep\SE-Project-Front\src\services\ant-design-pro\login.js", "JavaScript", 0, -8, 0, 0, 0, 0, 0, 0, 0, -3, -3, -14
"d:\工作\软工实验\sep\SE-Project-Front\src\services\swagger\index.js", "JavaScript", 0, -8, 0, 0, 0, 0, 0, 0, 0, -4, -2, -14
"d:\工作\软工实验\sep\SE-Project-Front\src\services\swagger\pet.js", "JavaScript", 0, -89, 0, 0, 0, 0, 0, 0, 0, -10, -12, -111
"d:\工作\软工实验\sep\SE-Project-Front\src\services\swagger\store.js", "JavaScript", 0, -30, 0, 0, 0, 0, 0, 0, 0, -6, -6, -42
"d:\工作\软工实验\sep\SE-Project-Front\src\services\swagger\user.js", "JavaScript", 0, -60, 0, 0, 0, 0, 0, 0, 0, -10, -10, -80
"d:\工作\软工实验\sep\SE-Project-Front\tests\PuppeteerEnvironment.js", "JavaScript", 0, -30, 0, 0, 0, 0, 0, 0, 0, -4, -8, -42
"d:\工作\软工实验\sep\SE-Project-Front\tests\beforeTest.js", "JavaScript", 0, -29, 0, 0, 0, 0, 0, 0, 0, -6, -5, -40
"d:\工作\软工实验\sep\SE-Project-Front\tests\getBrowser.js", "JavaScript", 0, -37, 0, 0, 0, 0, 0, 0, 0, -5, -4, -46
"d:\工作\软工实验\sep\SE-Project-Front\tests\run-tests.js", "JavaScript", 0, -37, 0, 0, 0, 0, 0, 0, 0, -8, -6, -51
"d:\工作\软工实验\sep\SE-Project-Front\tests\setupTests.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, 0, 0, -1, -3, -11
"d:\工作\软工实验\sep\SE-Project-Front\需求文档.md", "Markdown", -64, 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, -99
"Total", "-", -369, -4655, -36163, -290, -744, -186, -7, -17, -48, -443, -526, -43448
